NamedEntity,Descriptive,Sentiment
Bill Gates,many,Positive
Bill Gates,free,Positive
Bill Gates,own,Positive
Bill Gates,more,Positive
Bill Gates,big,Positive
Bill Gates,elegant,Positive
Bill Gates,wealthy,Positive
Bill Gates,close,Positive
Bill Gates,ample,Positive
Bill Gates,extensive,Positive
Bill Gates,aggressive,Negative
Bill Gates,good,Positive
Bill Gates,bad,Positive
Bill Gates,hard,Negative
Bill Gates,simple,Positive
Bill Gates,simple,Positive
Bill Gates,net,Positive
Bill Gates,local,Positive
Bill Gates,big,Positive
Bill Gates,huge,Positive
Bill Gates,charitable,Positive
Bill Gates,similar,Positive
Bill Gates,entire,Positive
Bill Gates,more,Positive
Bill Gates,same,Positive
Bill Gates,best,Positive
Bill Gates,free,Positive
Bill Gates,chief,Positive
Bill Gates,wealthy,Positive
Bill Gates,sophisticated,Positive
Bill Gates,different,Positive
Bill Gates,thick,Positive
Bill Gates,commercial,Negative
Bill Gates,worth,Positive
Bill Gates,worth,Positive
Bill Gates,same,Positive
Bill Gates,private,Positive
Bill Gates,wealthy,Positive
Bill Gates,standard,Positive
Bill Gates,insured,Negative
Bill Gates,higher,Positive
Bill Gates,worth,Positive
Bill Gates,unorthodox,Positive
Bill Gates,private,Positive
Bill Gates,sufficient,Positive
Bill Gates,liquid,Negative
Bill Gates,private,Positive
Bill Gates,whole,Positive
Bill Gates,private,Positive
Bill Gates,private,Positive
Bill Gates,least,Negative
Bill Gates,real,Positive
Bill Gates,many,Positive
Bill Gates,illiquid,Negative
Bill Gates,same,Positive
Bill Gates,able,Positive
Bill Gates,real,Positive
Bill Gates,more,Positive
Bill Gates,real,Positive
Bill Gates,real,Positive
Bill Gates,private,Positive
Bill Gates,exact,Positive
Bill Gates,fair,Positive
Bill Gates,liquid,Negative
Bill Gates,lower,Positive
Bill Gates,small,Positive
Bill Gates,subject,Positive
Bill Gates,more,Positive
Bill Gates,extra,Positive
Bill Gates,old,Positive
Bill Gates,chief,Positive
Bill Gates,true,Positive
Bill Gates,singular,Positive
Bill Gates,consequential,Positive
Bill Gates,more,Positive
Bill Gates,such,Positive
Bill Gates,bigger,Positive
Bill Gates,paranoid,Negative
Bill Gates,willing,Positive
Bill Gates,political,Positive
Bill Gates,unreliable,Positive
Bill Gates,false,Negative
Bill Gates,chief,Positive
Bill Gates,public,Neutral
Bill Gates,fair,Positive
Bill Gates,frank,Positive
Bill Gates,right,Positive
Bill Gates,many,Positive
Bill Gates,last,Negative
Bill Gates,more,Positive
Bill Gates,many,Positive
Bill Gates,much,Positive
Bill Gates,good,Positive
Bill Gates,good,Positive
Bill Gates,progress,Neutral
Bill Gates,better,Positive
Bill Gates,thoughtful,Positive
Bill Gates,preferred,Positive
Bill Gates,young,Positive
Bill Gates,beneficial,Positive
Bill Gates,mental,Positive
Bill Gates,new,Positive
Bill Gates,transparent,Neutral
Bill Gates,political,Positive
Bill Gates,chief,Positive
Bill Gates,little,Positive
Bill Gates,open,Positive
Bill Gates,authentic,Positive
Bill Gates,strong,Positive
Bill Gates,vast,Positive
Bill Gates,able,Positive
Bill Gates,private,Positive
Bill Gates,able,Positive
Bill Gates,able,Positive
Bill Gates,clear,Positive
Bill Gates,strong,Positive
Bill Gates,vast,Positive
Bill Gates,able,Positive
Bill Gates,private,Positive
Bill Gates,able,Positive
Bill Gates,able,Positive
Bill Gates,clear,Positive
Bill Gates,current,Positive
Bill Gates,new,Positive
Bill Gates,important,Positive
Bill Gates,good,Positive
Bill Gates,private,Positive
Bill Gates,able,Positive
Bill Gates,innovative,Positive
Bill Gates,new,Positive
Bill Gates,strong,Positive
Bill Gates,larger,Positive
Bill Gates,ultimate,Positive
Bill Gates,less,Negative
Bill Gates,strong,Positive
Bill Gates,larger,Positive
Bill Gates,ultimate,Positive
Bill Gates,less,Negative
Bill Gates,biased,Positive
Bill Gates,valuable,Positive
Bill Gates,least,Negative
Bill Gates,able,Positive
Bill Gates,little,Positive
Bill Gates,last,Negative
Bill Gates,least,Negative
Bill Gates,more,Positive
Bill Gates,rich,Positive
Bill Gates,big,Positive
Bill Gates,large,Positive
Bill Gates,political,Positive
Bill Gates,gigantic,Positive
Bill Gates,strong,Positive
Bill Gates,own,Positive
Bill Gates,private,Positive
Bill Gates,strong,Positive
Bill Gates,own,Positive
Bill Gates,private,Positive
Bill Gates,little,Positive
Bill Gates,little,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,amazing,Positive
Bill Gates,strong,Positive
Bill Gates,top,Positive
Bill Gates,huge,Positive
Bill Gates,certain,Positive
Bill Gates,strong,Positive
Bill Gates,optimistic,Positive
Bill Gates,amazing,Positive
Bill Gates,poor,Positive
Bill Gates,tight,Positive
Bill Gates,physical,Positive
Bill Gates,early,Positive
Bill Gates,low,Positive
Bill Gates,low,Positive
Bill Gates,physical,Positive
Bill Gates,likely,Positive
Bill Gates,more,Positive
Bill Gates,more,Positive
Bill Gates,less,Negative
Bill Gates,poor,Positive
Bill Gates,cool,Positive
Bill Gates,cool,Positive
Bill Gates,strong,Positive
Bill Gates,wrong,Positive
Bill Gates,strong,Positive
Bill Gates,wrong,Positive
Bill Gates,deep,Positive
Bill Gates,most,Positive
Bill Gates,obvious,Positive
Bill Gates,good,Positive
Bill Gates,bad,Positive
Bill Gates,different,Positive
Bill Gates,fascinating,Negative
Bill Gates,unexpected,Negative
Bill Gates,interesting,Positive
Bill Gates,corporate,Neutral
Bill Gates,recent,Positive
Bill Gates,federal,Neutral
Bill Gates,hot,Positive
Bill Gates,last,Negative
Bill Gates,most,Positive
Bill Gates,antitrust,Positive
Bill Gates,last,Negative
Bill Gates,big,Positive
Bill Gates,federal,Neutral
Bill Gates,new,Positive
Bill Gates,congressional,Neutral
Bill Gates,expert,Positive
Bill Gates,regulatory,Neutral
Bill Gates,nimble,Positive
Bill Gates,flexible,Positive
Bill Gates,antitrust,Positive
Bill Gates,higher,Positive
Bill Gates,key,Positive
Bill Gates,free,Positive
Bill Gates,old,Positive
Bill Gates,new,Positive
Bill Gates,antitrust,Positive
Bill Gates,dominant,Positive
Bill Gates,new,Positive
Bill Gates,antitrust,Positive
Bill Gates,dominant,Positive
Bill Gates,free,Positive
Bill Gates,new,Positive
Bill Gates,commercial,Negative
Bill Gates,young,Positive
Bill Gates,antitrust,Positive
Bill Gates,corporate,Neutral
Bill Gates,guilty,Negative
Bill Gates,antitrust,Positive
Bill Gates,competitive,Positive
Bill Gates,true,Positive
Bill Gates,new,Positive
Bill Gates,drastic,Positive
Bill Gates,detailed,Positive
Bill Gates,antitrust,Positive
Bill Gates,biggest,Positive
Bill Gates,similar,Positive
Bill Gates,skeptical,Positive
Bill Gates,appropriate,Positive
Bill Gates,effective,Positive
Bill Gates,public,Neutral
Bill Gates,sudden,Negative
Bill Gates,big,Positive
Bill Gates,small,Positive
Bill Gates,vital,Positive
Bill Gates,greater,Positive
Bill Gates,large,Positive
Bill Gates,lucrative,Positive
Bill Gates,few,Negative
Bill Gates,net,Positive
Bill Gates,expert,Positive
Bill Gates,preferred,Positive
Bill Gates,simple,Positive
Bill Gates,excessive,Positive
Bill Gates,worth,Positive
Bill Gates,current,Positive
Bill Gates,middle,Positive
Bill Gates,last,Negative
Bill Gates,middle,Positive
Bill Gates,top,Positive
Bill Gates,democratic,Neutral
Bill Gates,basic,Negative
Bill Gates,odd,Positive
Bill Gates,desperate,Positive
Bill Gates,hypothetical,Negative
Bill Gates,vast,Positive
Bill Gates,middle,Positive
Bill Gates,anxious,Positive
Bill Gates,pretax,Negative
Bill Gates,rich,Positive
Bill Gates,rich,Positive
Bill Gates,own,Positive
Bill Gates,generous,Positive
Bill Gates,liberal,Positive
Bill Gates,hard,Negative
Bill Gates,same,Positive
Bill Gates,free,Positive
Bill Gates,free,Positive
Bill Gates,free,Positive
Bill Gates,more,Positive
Bill Gates,secure,Positive
Bill Gates,much,Positive
Bill Gates,big,Positive
Bill Gates,less,Negative
Bill Gates,economic,Positive
Bill Gates,desirable,Positive
Bill Gates,innovative,Positive
Bill Gates,same,Positive
Bill Gates,less,Negative
Bill Gates,crude,Positive
Bill Gates,few,Negative
Bill Gates,highest,Positive
Bill Gates,federal,Neutral
Bill Gates,local,Positive
Bill Gates,highest,Positive
Bill Gates,federal,Neutral
Bill Gates,more,Positive
Bill Gates,much,Positive
Bill Gates,best,Positive
Bill Gates,specific,Positive
Bill Gates,necessary,Positive
Bill Gates,little,Positive
Bill Gates,available,Negative
Bill Gates,minor,Negative
Bill Gates,imperfect,Negative
Bill Gates,same,Positive
Bill Gates,weight,Positive
Bill Gates,consistent,Positive
Bill Gates,legal,Positive
Bill Gates,past,Positive
Bill Gates,higher,Positive
Bill Gates,incomplete,Positive
Bill Gates,additional,Positive
Bill Gates,higher,Positive
Bill Gates,more,Positive
Bill Gates,possible,Positive
Bill Gates,prohibitive,Positive
Bill Gates,next,Positive
Bill Gates,higher,Positive
Bill Gates,serious,Positive
Bill Gates,principled,Positive
Bill Gates,factual,Positive
Bill Gates,little,Positive
Bill Gates,long,Positive
Bill Gates,same,Positive
Bill Gates,willing,Positive
Bill Gates,large,Positive
Bill Gates,happy,Positive
Bill Gates,different,Positive
Bill Gates,much,Positive
Bill Gates,corporate,Neutral
Bill Gates,central,Positive
Bill Gates,top,Positive
Bill Gates,primary,Positive
Bill Gates,former,Negative
Bill Gates,opposite,Negative
Bill Gates,more,Positive
Bill Gates,moderate,Positive
Bill Gates,largest,Positive
Bill Gates,charitable,Positive
Bill Gates,federal,Neutral
Bill Gates,wrong,Positive
Bill Gates,big,Positive
Bill Gates,universal,Positive
Bill Gates,public,Neutral
Bill Gates,free,Positive
Bill Gates,public,Neutral
Bill Gates,more,Positive
Bill Gates,same,Positive
Bill Gates,biggest,Positive
Bill Gates,regular,Positive
Bill Gates,comprehensive,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,next,Positive
Bill Gates,clear,Positive
Bill Gates,many,Positive
Bill Gates,strong,Positive
Bill Gates,huge,Positive
Bill Gates,strong,Positive
Bill Gates,tricky,Positive
Bill Gates,strong,Positive
Bill Gates,real,Positive
Bill Gates,influential,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,fatal,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,wrong,Positive
Bill Gates,political,Positive
Bill Gates,false,Negative
Bill Gates,strong,Positive
Bill Gates,difficult,Positive
Bill Gates,average,Positive
Bill Gates,strong,Positive
Bill Gates,right,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,enormous,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,heavy,Positive
Bill Gates,strong,Positive
Bill Gates,poor,Positive
Bill Gates,negative,Negative
Bill Gates,strong,Positive
Bill Gates,public,Neutral
Bill Gates,top,Positive
Bill Gates,strong,Positive
Bill Gates,public,Neutral
Bill Gates,poorest,Negative
Bill Gates,former,Negative
Bill Gates,old,Positive
Bill Gates,strong,Positive
Bill Gates,major,Positive
Bill Gates,political,Positive
Bill Gates,strong,Positive
Bill Gates,former,Negative
Bill Gates,inappropriate,Positive
Bill Gates,current,Positive
Bill Gates,former,Negative
Bill Gates,big,Positive
Bill Gates,vital,Positive
Bill Gates,strong,Positive
Bill Gates,former,Negative
Bill Gates,false,Negative
Bill Gates,unauthorized,Negative
Bill Gates,new,Positive
Bill Gates,corporate,Neutral
Bill Gates,savvy,Positive
Bill Gates,secure,Positive
Bill Gates,strong,Positive
Bill Gates,biggest,Positive
Bill Gates,candid,Positive
Bill Gates,corporate,Neutral
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
Bill Gates,strong,Positive
