NamedEntity,Descriptive,Sentiment
Joe Biden,unwanted,Negative
Joe Biden,recent,Positive
Joe Biden,damaging,Positive
Joe Biden,quid,Negative
Joe Biden,untrue,Positive
Joe Biden,unwanted,Negative
Joe Biden,political,Positive
Joe Biden,local,Positive
Joe Biden,nearby,Positive
Joe Biden,outlandish,Negative
Joe Biden,quid,Negative
Joe Biden,foreign,Neutral
Joe Biden,former,Negative
Joe Biden,top,Positive
Joe Biden,political,Positive
Joe Biden,former,Negative
Joe Biden,public,Neutral
Joe Biden,top,Positive
Joe Biden,least,Negative
Joe Biden,separate,Positive
Joe Biden,central,Positive
Joe Biden,current,Positive
Joe Biden,same,Positive
Joe Biden,federal,Neutral
Joe Biden,criminal,Negative
Joe Biden,federal,Neutral
Joe Biden,foreign,Neutral
Joe Biden,foreign,Neutral
Joe Biden,federal,Neutral
Joe Biden,guilty,Negative
Joe Biden,few,Negative
Joe Biden,critical,Positive
Joe Biden,free,Positive
Joe Biden,updated,Positive
Joe Biden,few,Negative
Joe Biden,pursued,Positive
Joe Biden,more,Positive
Joe Biden,typical,Positive
Joe Biden,higher,Positive
Joe Biden,few,Negative
Joe Biden,bad,Positive
Joe Biden,new,Positive
Joe Biden,illegal,Positive
Joe Biden,impossible,Negative
Joe Biden,such,Positive
Joe Biden,foreign,Neutral
Joe Biden,unaccepted,Negative
Joe Biden,legal,Positive
Joe Biden,top,Positive
Joe Biden,soft,Positive
Joe Biden,corrupt,Negative
Joe Biden,former,Negative
Joe Biden,direct,Neutral
Joe Biden,strong,Positive
Joe Biden,strong,Positive
Joe Biden,strong,Positive
Joe Biden,strong,Positive
Joe Biden,useful,Positive
Joe Biden,strong,Positive
Joe Biden,former,Negative
Joe Biden,middle,Positive
Joe Biden,strong,Positive
Joe Biden,less,Negative
Joe Biden,safe,Positive
Joe Biden,enthusiastic,Positive
Joe Biden,usual,Neutral
Joe Biden,only,Positive
Joe Biden,strong,Positive
Joe Biden,flat,Positive
Joe Biden,overwhelming,Positive
Joe Biden,good,Positive
Joe Biden,delicate,Positive
Joe Biden,more,Positive
Joe Biden,public,Neutral
Joe Biden,black,Positive
Joe Biden,major,Positive
Joe Biden,black,Positive
Joe Biden,single,Neutral
Joe Biden,next,Positive
Joe Biden,curious,Positive
Joe Biden,same,Positive
Joe Biden,large,Positive
Joe Biden,bipartisan,Neutral
Joe Biden,leading,Positive
Joe Biden,powerful,Positive
Joe Biden,black,Positive
Joe Biden,supportive,Positive
Joe Biden,white,Positive
Joe Biden,black,Positive
Joe Biden,past,Positive
Joe Biden,few,Negative
Joe Biden,primary,Positive
Joe Biden,afraid,Negative
Joe Biden,largest,Positive
Joe Biden,black,Positive
Joe Biden,black,Positive
Joe Biden,black,Positive
Joe Biden,more,Positive
Joe Biden,next,Positive
Joe Biden,black,Positive
Joe Biden,major,Positive
Joe Biden,white,Positive
Joe Biden,quiet,Positive
Joe Biden,few,Negative
Joe Biden,public,Neutral
Joe Biden,many,Positive
Joe Biden,unaccountable,Negative
Joe Biden,great,Positive
Joe Biden,historic,Positive
Joe Biden,public,Neutral
Joe Biden,public,Neutral
Joe Biden,further,Positive
Joe Biden,subject,Positive
Joe Biden,same,Positive
Joe Biden,public,Neutral
Joe Biden,likely,Positive
Joe Biden,federal,Neutral
Joe Biden,new,Positive
Joe Biden,chief,Positive
Joe Biden,fair,Positive
Joe Biden,largest,Positive
Joe Biden,large,Positive
Joe Biden,local,Positive
Joe Biden,vulnerable,Negative
Joe Biden,more,Positive
Joe Biden,black,Positive
Joe Biden,same,Positive
Joe Biden,white,Positive
Joe Biden,affluent,Positive
Joe Biden,private,Positive
Joe Biden,medical,Positive
Joe Biden,standardized,Positive
Joe Biden,recent,Positive
Joe Biden,federal,Neutral
Joe Biden,few,Negative
Joe Biden,late,Positive
Joe Biden,available,Negative
Joe Biden,federal,Neutral
Joe Biden,fundamental,Positive
Joe Biden,liberal,Positive
Joe Biden,moderate,Positive
Joe Biden,minimal,Positive
Joe Biden,public,Neutral
Joe Biden,specific,Positive
Joe Biden,hard,Negative
Joe Biden,supportive,Positive
Joe Biden,accessible,Negative
Joe Biden,basic,Negative
Joe Biden,willing,Positive
Joe Biden,many,Positive
Joe Biden,striking,Positive
Joe Biden,individual,Neutral
Joe Biden,unapologetic,Positive
Joe Biden,safe,Positive
Joe Biden,legal,Positive
Joe Biden,rare,Positive
Joe Biden,next,Positive
Joe Biden,positive,Positive
Joe Biden,economic,Positive
Joe Biden,safe,Positive
Joe Biden,legal,Positive
Joe Biden,rare,Positive
Joe Biden,rare,Positive
Joe Biden,safe,Positive
Joe Biden,legal,Positive
Joe Biden,accessible,Negative
Joe Biden,healthy,Positive
Joe Biden,less,Negative
Joe Biden,late,Positive
Joe Biden,consistent,Positive
Joe Biden,late,Positive
Joe Biden,judicial,Neutral
Joe Biden,respect,Positive
Joe Biden,particular,Positive
Joe Biden,enough,Positive
Joe Biden,targeted,Positive
Joe Biden,certain,Positive
Joe Biden,open,Positive
Joe Biden,center,Neutral
Joe Biden,past,Positive
Joe Biden,foreign,Neutral
Joe Biden,private,Positive
Joe Biden,available,Negative
Joe Biden,major,Positive
Joe Biden,current,Positive
Joe Biden,multiple,Positive
Joe Biden,legal,Positive
Joe Biden,regulatory,Neutral
Joe Biden,common,Positive
Joe Biden,firm,Positive
Joe Biden,true,Positive
Joe Biden,complicated,Negative
Joe Biden,next,Positive
Joe Biden,many,Positive
Joe Biden,white,Positive
Joe Biden,liberal,Positive
Joe Biden,whole,Positive
Joe Biden,cultural,Positive
Joe Biden,basic,Negative
Joe Biden,solid,Positive
Joe Biden,less,Negative
Joe Biden,legal,Positive
Joe Biden,popular,Positive
Joe Biden,illegal,Positive
Joe Biden,noteworthy,Positive
Joe Biden,large,Positive
Joe Biden,little,Positive
Joe Biden,moderate,Positive
Joe Biden,sheepish,Negative
Joe Biden,preferred,Positive
Joe Biden,top,Positive
Joe Biden,different,Positive
Joe Biden,young,Positive
Joe Biden,black,Positive
Joe Biden,black,Positive
Joe Biden,simplistic,Negative
Joe Biden,black,Positive
Joe Biden,ideological,Positive
Joe Biden,economic,Positive
Joe Biden,more,Positive
Joe Biden,black,Positive
Joe Biden,black,Positive
Joe Biden,older,Positive
Joe Biden,former,Negative
Joe Biden,black,Positive
Joe Biden,left,Positive
